text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
27,3,Goal scored (Number of goals scored) is the third most important feature and has a positive influence on the prediction.,8.2,5.72,2.48
27,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.79,5.72,2.07
28,0,"For this instance, the model predicted to get a man of the match award.",4.0,5.24,-1.24
28,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.68,5.24,2.44
28,2,Corners (Number of corner kicks) is the second most important feature and has a positive influence on the prediction.,7.72,5.24,2.47
28,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.83,5.24,1.59
28,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.08,5.24,1.84
29,0,"For this instance, the model predicted to get a man of the match award.",4.06,5.34,-1.28
29,1,Goal scored (Number of goals scored) is the most important feature and has a positive influence on the prediction.,7.89,5.34,2.55
29,2,Corners (Number of corner kicks) is the second most important feature and has a negative influence on the prediction.,7.72,5.34,2.38
29,3,Off-target (Number of off-target attempts) is the third most important feature and has a positive influence on the prediction.,6.92,5.34,1.58
29,4,Passes (Total number of passes) is the 4th most important feature and has a negative influence on the prediction.,7.27,5.34,1.94
