key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.3997081414943702,0.3997081414943702,0.9558823529411765,9.834981918334961,2.285945613337549
1,0.4361839314893477,0.4361839314893477,0.96,8.27194881439209,2.1128701299316592
2,0.44813926951449745,0.44813926951449745,0.9736842105263158,8.294144630432129,2.115549799631172
3,0.3990187073372031,0.3990187073372031,0.9432624113475178,9.298287391662598,2.229830231767124
5,0.42668861724737805,0.42668861724737805,0.9751552795031055,9.287063598632812,2.228622420905753
6,0.39662466285929787,0.39662466285929787,0.94,9.2794189453125,2.2277989311861224
7,0.3984801500432243,0.3984801500432243,0.9453125,9.417410850524902,2.2425601941760887
8,0.44199733015137077,0.44199733015137077,0.9720670391061452,8.480998039245605,2.1378281361857625
9,0.4110913526096639,0.4110913526096639,0.9770992366412213,10.200233459472656,2.3224106082118885
10,0.4308591936796486,0.4308591936796486,0.9591836734693877,8.459970474243164,2.1353456835698625
13,0.4642936423859272,0.4642936423859272,0.9627329192546584,7.3615336418151855,1.9962682862803072
14,0.41871092580982716,0.41871092580982716,0.9523809523809523,8.725438117980957,2.166242680923044
15,0.5025266859383009,0.5025266859383009,0.9576719576719577,6.20309591293335,1.8250485082176189
16,0.49425846700366255,0.49425846700366255,0.9629629629629629,6.528251647949219,1.8761391659306408
17,0.47537271791693736,0.47537271791693736,0.9681528662420382,7.18329381942749,1.9717580270907624
18,0.4469852983501918,0.4469852983501918,0.9452054794520548,7.3798508644104,1.9987534303337238
19,0.4023994923976113,0.4023994923976113,0.9559748427672956,9.69001579284668,2.2710960557100854
20,0.4226604717075919,0.4226604717075919,0.9607843137254902,8.882099151611328,2.184037920015363
21,0.5017386201037992,0.5017386201037992,0.9726775956284153,6.590614318847656,1.8856465640252016
22,0.40710953429569297,0.40710953429569297,0.991869918699187,11.207276344299316,2.4165632409526694
23,0.3888203776447484,0.3888203776447484,0.9347826086956522,9.462700843811035,2.2473578437759407
24,0.4526432744364653,0.4526432744364653,0.9639175257731959,7.788836479187012,2.052691487903985
25,0.464209630689958,0.464209630689958,0.9354838709677419,6.587701320648193,1.885204474409716
26,0.4372234355931097,0.4372234355931097,0.9459459459459459,7.741397857666016,2.0465822730607353
27,0.4728192792538213,0.4728192792538213,0.9382022471910112,6.434337139129639,1.8616488270600684
28,0.41773302169734156,0.41773302169734156,0.967948717948718,9.420415878295898,2.242879236052813
29,0.444913265758486,0.444913265758486,0.9415584415584416,7.334547996520996,1.9925957868633235
