key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.4232466889141096,0.4232466889141096,0.9447236180904522,8.23757266998291,2.1087057216389287
1,0.37392613332880564,0.37392613332880564,0.9417989417989417,10.719738960266113,2.3720868046247277
2,0.3523126449030419,0.3523126449030419,0.9415204678362573,12.380463600158691,2.5161197140640894
3,0.39352630820915807,0.39352630820915807,0.9572192513368984,10.261041641235352,2.328354359076238
4,0.3829686943989925,0.3829686943989925,0.9230769230769231,9.252653121948242,2.2249103343926
5,0.4061625180322209,0.4061625180322209,0.9385474860335196,8.747481346130371,2.1687658127773375
6,0.3845090164869519,0.3845090164869519,0.9308510638297872,9.520818710327148,2.2534808440895175
7,0.37188234879180565,0.37188234879180565,0.911504424778761,9.33852481842041,2.234148297413269
8,0.40311863822679683,0.40311863822679683,0.9184782608695652,8.10669231414795,2.092689932176655
9,0.41180820336830126,0.41180820336830126,0.9424083769633508,8.642292976379395,2.1566679383907115
10,0.37306730522778575,0.37306730522778575,0.9318181818181818,10.251481056213379,2.3274221884353774
11,0.3663185013214717,0.3663185013214717,0.9337016574585635,10.80374526977539,2.3798928582528798
12,0.3889816012322197,0.3889816012322197,0.9493670886075949,10.145910263061523,2.3170706945421604
13,0.39322155214724486,0.39322155214724486,0.9545454545454546,10.146810531616211,2.3171594227678516
14,0.4186341726384349,0.4186341726384349,0.9588235294117647,8.989456176757812,2.196052354635772
15,0.37356913510941286,0.37356913510941286,0.9421965317919075,10.765631675720215,2.3763588077497215
16,0.3757707357647768,0.3757707357647768,0.9476439790575916,10.911665916442871,2.3898324844706615
17,0.4099488398775359,0.4099488398775359,0.9415204678362573,8.691706657409668,2.1623693132523987
18,0.41962739653843295,0.41962739653843295,0.9717514124293786,9.490882873535156,2.250331640279367
19,0.36830460982862595,0.36830460982862595,0.949748743718593,11.578168869018555,2.449121330886305
20,0.40636556676011887,0.40636556676011887,0.9395604395604396,8.779010772705078,2.1723637330426557
21,0.42475711978966946,0.42475711978966946,0.9581151832460733,8.681541442871094,2.161199098490033
22,0.38457703694041073,0.38457703694041073,0.9494949494949495,10.42534065246582,2.3442394436465226
23,0.37136354727144544,0.37136354727144544,0.9371428571428572,10.642948150634766,2.3648975273599944
24,0.3610658944609713,0.3610658944609713,0.9333333333333333,11.163056373596191,2.412609788059814
25,0.4004400195186296,0.4004400195186296,0.9395604395604396,9.065803527832031,2.2045094809659433
26,0.38873380401334373,0.38873380401334373,0.9714285714285714,11.33116626739502,2.4275570059643243
27,0.43858678753486324,0.43858678753486324,0.9655172413793104,8.377224922180176,2.1255167047790082
28,0.37483439473494984,0.37483439473494984,0.9629629629629629,11.868481636047363,2.473886284352621
29,0.3836929239948614,0.3836929239948614,0.921875,9.160780906677246,2.214931426872969
