key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.26654996330467073,0.26654996330467073,0.5784313725490197,3.5086629390716553,1.255235035866463
1,0.2757670671482134,0.2757670671482134,0.6095238095238096,3.846721887588501,1.3472213278344112
2,0.2602717497993823,0.2602717497993823,0.594059405940594,3.880312919616699,1.3559157997689424
3,0.2769137324487764,0.2769137324487764,0.6019417475728155,3.700515031814575,1.3084720077507888
4,0.25696215650567383,0.25696215650567383,0.59,3.875498056411743,1.3546741852328508
5,0.28701631556915363,0.28701631556915363,0.6019417475728155,3.533947706222534,1.2624155764542748
6,0.2778543836488756,0.2778543836488756,0.5980392156862745,3.622586488723755,1.2871882703517739
7,0.2744658675090599,0.2744658675090599,0.6019417475728155,3.7439522743225098,1.3201418112911794
8,0.2790803719643572,0.2790803719643572,0.6019417475728155,3.663114309310913,1.298313689782851
9,0.27712378664617177,0.27712378664617177,0.5980392156862745,3.6349005699157715,1.2905817570806313
10,0.2806996336024596,0.2806996336024596,0.5980392156862745,3.5756285190582275,1.2741409702200641
11,0.2740833201608943,0.2740833201608943,0.6019417475728155,3.75085711479187,1.3219843778100593
12,0.2610467317717415,0.2610467317717415,0.59,3.794215679168701,1.3334777173321504
13,0.2778989621578527,0.2778989621578527,0.5980392156862745,3.6218385696411133,1.2869817890701614
14,0.25748221071955196,0.25748221071955196,0.59,3.8649086952209473,1.3519380582728813
15,0.2541678317537042,0.2541678317537042,0.5825242718446602,3.800302028656006,1.3350805447991396
16,0.26393237705731865,0.26393237705731865,0.594059405940594,3.8080217838287354,1.3371098374560169
17,0.28484551172356193,0.28484551172356193,0.5980392156862745,3.509929895401001,1.2555960644580875
18,0.2784800575186867,0.2784800575186867,0.5980392156862745,3.6121251583099365,1.2842962856493059
19,0.27561765457194165,0.27561765457194165,0.6019417475728155,3.7233545780181885,1.314625030220765
20,0.261781758240369,0.261781758240369,0.594059405940594,3.8500826358795166,1.3480946119341568
21,0.26041245212162106,0.26041245212162106,0.594059405940594,3.8774712085723877,1.3551831907856413
22,0.2585120927317806,0.2585120927317806,0.5784313725490197,3.6483092308044434,1.2942638358356777
23,0.28447984051017233,0.28447984051017233,0.6019417475728155,3.5739502906799316,1.2736715080450804
24,0.27764116286000895,0.27764116286000895,0.6019417475728155,3.6878504753112793,1.3050437613017403
25,0.2568660789405609,0.2568660789405609,0.594059405940594,3.950701951980591,1.3738932724867672
26,0.2637981572264209,0.2637981572264209,0.5825242718446602,3.619520425796509,1.2863415379998158
27,0.2671805429684908,0.2671805429684908,0.5784313725490197,3.498283863067627,1.252272523409015
28,0.2772030227613668,0.2772030227613668,0.6019417475728155,3.695465326309204,1.3071064805196375
29,0.2661082704831738,0.2661082704831738,0.59,3.699191093444824,1.3081141723553102
