key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.4548825139672439,0.4548825139672439,0.9533333333333334,7.374117374420166,1.9979762170191717
1,0.4462824398236711,0.4462824398236711,0.9463087248322147,7.437816143035889,2.006577276595041
2,0.4354709594368775,0.4354709594368775,0.950920245398773,7.9763898849487305,2.0764859137302256
3,0.41786912697957235,0.41786912697957235,0.9568345323741008,8.943747520446777,2.1909546870839303
4,0.4267020838369672,0.4267020838369672,0.9716312056737588,9.13829517364502,2.212473844397132
5,0.40518385096037635,0.40518385096037635,0.9123711340206185,7.802374362945557,2.054428092879431
6,0.423112644029314,0.423112644029314,0.9320987654320988,7.79414701461792,2.053373069276205
7,0.42613542257996695,0.42613542257996695,0.94,7.952761650085449,2.07351924571393
8,0.48400456605371994,0.48400456605371994,0.9664429530201343,6.887847423553467,1.9297586158280395
9,0.47941909730419646,0.47941909730419646,0.9577464788732394,6.775492191314697,1.9133120122915455
10,0.44310460611548874,0.44310460611548874,0.930635838150289,7.060947418212891,1.954579237716069
11,0.4199638472383289,0.4199638472383289,0.9705882352941176,9.422958374023438,2.243149091728227
12,0.42336912863831616,0.42336912863831616,0.9664804469273743,9.082160949707031,2.2063121543539013
13,0.43746392161855335,0.43746392161855335,0.9251700680272109,7.075193881988525,1.9565948469684562
14,0.4885998406210944,0.4885998406210944,0.9705882352941176,6.876040935516357,1.9280430408938585
15,0.4788761560000678,0.4788761560000678,0.9024390243902439,5.477454662322998,1.7006405153784687
16,0.4491924200335569,0.4491924200335569,0.9696969696969697,8.111959457397461,2.0933394489809953
17,0.45596811201437965,0.45596811201437965,0.9382716049382716,6.894576072692871,1.9307350260618152
18,0.46197951150153244,0.46197951150153244,0.94375,6.875262260437012,1.927929789797714
19,0.47914515269638425,0.47914515269638425,0.9210526315789473,5.873929977416992,1.7705239119387755
20,0.4696740090698138,0.4696740090698138,0.9615384615384616,7.15997314453125,1.9685062302017282
21,0.426050565844372,0.426050565844372,0.9724137931034482,9.202066421508789,2.219428069867277
22,0.46182587372306527,0.46182587372306527,0.9726027397260274,7.75467586517334,2.048295998872118
23,0.4502676112154207,0.4502676112154207,0.9316770186335404,6.874311447143555,1.9277914853942184
24,0.44761802295492825,0.44761802295492825,0.9421965317919075,7.2662529945373535,1.9832407521492652
25,0.43529855061098716,0.43529855061098716,0.9391891891891891,7.5865044593811035,2.0263709397877845
26,0.48953796420140233,0.48953796420140233,0.9708029197080292,6.856517314910889,1.9251996327825038
27,0.4856892319638513,0.4856892319638513,0.9322916666666666,5.986789703369141,1.7895553257824772
28,0.47760991380915013,0.47760991380915013,0.9774436090225563,7.391782283782959,2.0003688809541966
29,0.47496488712438634,0.47496488712438634,0.953757225433526,6.788297653198242,1.9152001963219505
