key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.3685809359340689,0.3685809359340689,0.923469387755102,10.112043380737305,2.313727127420745
1,0.4021952201863148,0.4021952201863148,0.9770114942528736,10.73332691192627,2.373353565614335
2,0.3904758893631317,0.3904758893631317,0.9352941176470588,9.395956039428711,2.2402793881382874
3,0.38170408191566507,0.38170408191566507,0.9696969696969697,11.74536418914795,2.46345862564614
4,0.3975882552942568,0.3975882552942568,0.9473684210526315,9.55799388885498,2.257377860780891
5,0.4079982664138758,0.4079982664138758,0.9651162790697675,9.80579948425293,2.2829739947488052
6,0.40566952558025887,0.40566952558025887,0.9649122807017544,9.925516128540039,2.2951088280967222
7,0.39340150564378706,0.39340150564378706,0.9617834394904459,10.499808311462402,2.3513570009456344
8,0.41898100627247864,0.41898100627247864,1.0,10.878006935119629,2.3867430385368436
9,0.3964722463103629,0.3964722463103629,0.9751552795031055,11.006352424621582,2.3984725992607894
10,0.4469834574737121,0.4469834574737121,0.9836956521739131,8.71339225769043,2.1648611820556467
11,0.4368867781306565,0.4368867781306565,0.9942196531791907,9.607437133789062,2.262537499983886
12,0.4152136819114077,0.4152136819114077,0.9593023255813954,9.173831939697266,2.216355076811331
13,0.37117417001160946,0.37117417001160946,0.9503105590062112,11.393728256225586,2.433063051048113
14,0.3920951488643338,0.3920951488643338,0.9583333333333334,10.405096054077148,2.342295691333708
15,0.39507658175885313,0.39507658175885313,0.9540816326530612,10.014547348022461,2.3040387706946968
16,0.37696060493080824,0.37696060493080824,0.9685534591194969,12.044135093688965,2.4885778272361696
17,0.40907577532488165,0.40907577532488165,0.9817073170731707,10.54781436920166,2.355918669663605
18,0.46512733622083413,0.46512733622083413,0.9719101123595506,7.620649814605713,2.0308616435699465
19,0.4158079214396376,0.4158079214396376,0.9583333333333334,9.104044914245605,2.2087188108346356
20,0.42008494859802276,0.42008494859802276,0.9696969696969697,9.378181457519531,2.238385869757181
21,0.36121340689727016,0.36121340689727016,0.952054794520548,12.29684829711914,2.5093429935377434
22,0.41027938290918786,0.41027938290918786,0.9938650306748467,11.106704711914062,2.4075489540671082
23,0.3938554252001926,0.3938554252001926,0.949685534591195,9.87427806854248,2.2899332011316997
24,0.3811362747783893,0.3811362747783893,0.9548022598870056,10.934464454650879,2.391919677588831
25,0.4045993770930415,0.4045993770930415,0.9513513513513514,9.364744186401367,2.236952019602129
26,0.3854380816955879,0.3854380816955879,0.9679144385026738,11.366069793701172,2.4306325834245412
27,0.426783888377201,0.426783888377201,0.9565217391304348,8.53168773651123,2.143787200843142
28,0.38944252799753365,0.38944252799753365,0.9819277108433735,11.891222953796387,2.4758005610733247
29,0.36886650567912865,0.36886650567912865,0.9806451612903225,13.559415817260742,2.6070812002612684
