key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.275323654607279,0.275323654607279,0.6309523809523809,4.245832443237305,1.4459379002408226
1,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
2,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
3,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
4,0.2760836261217747,0.2760836261217747,0.6309523809523809,4.22896671295166,1.441957687320017
5,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
6,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
7,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
8,0.2760836261217747,0.2760836261217747,0.6309523809523809,4.22896671295166,1.441957687320017
9,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
10,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
11,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
12,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
13,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
14,0.27461495953813536,0.27461495953813536,0.6352941176470588,4.347883224487305,1.4696891116046713
15,0.2731964325181227,0.2731964325181227,0.6352941176470588,4.381189346313477,1.4773202277821909
16,0.2557034673232827,0.2557034673232827,0.611764705882353,4.321631908416748,1.4636330875019172
17,0.2731964325181227,0.2731964325181227,0.6352941176470588,4.381189346313477,1.4773202277821909
18,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
19,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
20,0.275323654607279,0.275323654607279,0.6309523809523809,4.245832443237305,1.4459379002408226
21,0.2749612182202971,0.2749612182202971,0.6309523809523809,4.253932476043701,1.4478438436016914
22,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
23,0.2731964325181227,0.2731964325181227,0.6352941176470588,4.381189346313477,1.4773202277821909
24,0.2551621141647158,0.2551621141647158,0.611764705882353,4.3350725173950195,1.4667383384420734
25,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
26,0.2557034673232827,0.2557034673232827,0.611764705882353,4.321631908416748,1.4636330875019172
27,0.27464957862081807,0.27464957862081807,0.6352941176470588,4.3470778465271,1.4695038599500794
28,0.27500031075607606,0.27500031075607606,0.6352941176470588,4.338938236236572,1.4676296721531525
29,0.2724968252746456,0.2724968252746456,0.6309523809523809,4.309999465942383,1.4609377802043686
