text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
15,3,Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction.,5.86
15,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.38
15,5,"For this instance, the model predicted not to have a stroke.",5.47
16,1,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,29.26
16,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.9
16,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.45
16,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.17
16,5,"For this instance, the model predicted not to have a stroke.",5.26
17,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
17,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
17,3,Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction.,5.86
17,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.38
17,5,"For this instance, the model predicted not to have a stroke.",5.47
18,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
18,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
18,3,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.81
18,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.33
18,5,"For this instance, the model predicted not to have a stroke.",5.39
19,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
19,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
19,3,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.81
19,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.33
19,5,"For this instance, the model predicted not to have a stroke.",5.39
20,1,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,29.26
20,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,9.7
20,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
20,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.16
20,5,"For this instance, the model predicted to have a stroke.",5.36
21,1,Hypertension (Indicator if the patient has hypertension) is the third most important feature and has a positive influence on the prediction.,44.87
21,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,13.07
21,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,7.37
21,4,Bmi (Body Mass Index) is the 4th most important feature and has a positive influence on the prediction.,5.2
21,5,"For this instance, the model predicted to have a stroke.",6.31
22,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
22,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
22,3,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.81
22,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.33
22,5,"For this instance, the model predicted not to have a stroke.",5.39
23,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
23,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
23,3,Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction.,5.86
23,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.38
23,5,"For this instance, the model predicted not to have a stroke.",5.47
24,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
24,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,10.69
24,3,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.81
24,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.33
24,5,"For this instance, the model predicted not to have a stroke.",5.39
25,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
25,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
25,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
25,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.15
