key,fdr,cem,distinct_bigram_ratio,perplexity,ln_perplexity
0,0.2751362526955439,0.2751362526955439,0.9210526315789473,21.831144332885742,3.0833375893842856
1,0.3533055751980335,0.3533055751980335,0.9375,12.033157348632812,2.4876659517964264
2,0.3058732769875921,0.3058732769875921,0.9428571428571428,18.290205001831055,2.906365670750625
3,0.2697133112372626,0.2697133112372626,0.9333333333333333,25.27376365661621,3.229766848047067
4,0.32676477322850217,0.32676477322850217,0.9705882352941176,17.86663055419922,2.882934758186411
5,0.2752769298849512,0.2752769298849512,0.9166666666666666,21.167810440063477,3.052481652309047
6,0.26235520630554265,0.26235520630554265,0.9354838709677419,28.09716796875,3.335668787230399
7,0.267549281986487,0.267549281986487,0.9117647058823529,22.357162475585938,3.107146738426756
8,0.24849956200426698,0.24849956200426698,0.9310344827586207,32.72817611694336,3.488236361844083
9,0.25654519904617595,0.25654519904617595,0.9142857142857143,26.007028579711914,3.2583668314778342
10,0.2697133112372626,0.2697133112372626,0.9333333333333333,25.27376365661621,3.229766848047067
11,0.27390709761270604,0.27390709761270604,0.9375,24.748750686645508,3.208775010433425
12,0.289573927662083,0.289573927662083,0.9411764705882353,21.306718826293945,3.059022460829495
13,0.25782269381326683,0.25782269381326683,0.8823529411764706,20.485107421875,3.0196981549135695
14,0.250124118419639,0.250124118419639,0.9310344827586207,31.995019912719727,3.4655802629609664
15,0.27993796381572994,0.27993796381572994,0.9393939393939394,23.390846252441406,3.1523447600374315
16,0.2904194747769866,0.2904194747769866,0.9473684210526315,21.98546028137207,3.090381338568815
17,0.2597672782102973,0.2597672782102973,0.9117647058823529,24.538158416748047,3.2002293923245166
18,0.2820130146456239,0.2820130146456239,0.9473684210526315,24.10698890686035,3.182501794591142
19,0.2966593935269585,0.2966593935269585,0.967741935483871,23.49767303466797,3.1569013964459662
20,0.2910088395935181,0.2910088395935181,0.918918918918919,18.204544067382812,2.9016712369513984
21,0.27196119448524614,0.27196119448524614,0.9333333333333333,24.607994079589844,3.2030713527343653
22,0.2827378977036402,0.2827378977036402,0.9428571428571428,23.20070457458496,3.1441826478052968
23,0.26493529522482967,0.26493529522482967,0.9166666666666666,23.846416473388672,3.1716339533571785
24,0.31130899530607126,0.31130899530607126,0.9444444444444444,17.55328369140625,2.865241037333365
25,0.2687284044282094,0.2687284044282094,0.9428571428571428,27.333057403564453,3.308096863553644
26,0.2664458042560197,0.2664458042560197,0.9375,27.075532913208008,3.298630475544984
27,0.34182401636796655,0.34182401636796655,0.972972972972973,15.950413703918457,2.7694847664442275
28,0.34182401636796655,0.34182401636796655,0.972972972972973,15.950413703918457,2.7694847664442275
29,0.2979860294244987,0.2979860294244987,0.9411764705882353,19.543968200683594,2.9726667068912622
